,position
274,"['CM', 'CDM', 'CAM']"
275,"['CAM', 'CDM']"
276,"['CDM', 'CM']"
277,['RB']
278,['GK']
279,['GK']
280,['CB']
281,"['LM', 'ST', 'RM']"
282,['RB']
283,['GK']
284,"['ST', 'LW', 'RW']"
285,"['RW', 'ST']"
286,['CDM']
287,"['RM', 'ST', 'LM']"
288,"['CAM', 'LW', 'CM']"
289,"['CAM', 'CF', 'CM']"
290,['CB']
291,"['CM', 'CAM']"
292,"['RB', 'RM']"
293,"['CM', 'CDM']"
294,"['CM', 'CAM']"
295,"['LWB', 'LB', 'LM']"
296,"['CAM', 'RW', 'RM']"
297,"['CAM', 'CM']"
298,['GK']
299,"['LB', 'LWB']"
300,['CB']
301,['CB']
302,"['CAM', 'ST']"
303,['ST']
304,['GK']
305,['RM']
306,['RM']
307,"['LW', 'ST']"
308,"['RW', 'LW', 'RM']"
309,"['RB', 'RM']"
310,"['CDM', 'CB']"
311,"['RW', 'CF']"
312,"['CDM', 'CM']"
313,"['CM', 'CAM']"
314,"['CB', 'RB']"
315,"['CB', 'LB', 'RB']"
316,"['CF', 'CAM']"
317,"['ST', 'RW', 'LW']"
318,['GK']
319,['CM']
320,['CB']
321,"['ST', 'CAM', 'LM']"
322,"['RM', 'CM']"
323,"['CF', 'CAM', 'LM']"
324,"['ST', 'RW', 'LW', 'CAM']"
325,"['CB', 'RB']"
326,['RB']
327,['CB']
328,"['RW', 'CAM']"
329,"['RW', 'RM']"
330,['GK']
331,"['CAM', 'CM']"
332,"['CAM', 'LW']"
333,"['CDM', 'CB']"
334,"['RWB', 'RM']"
335,['RM']
336,"['LW', 'RW']"
337,"['CM', 'CDM']"
338,['RB']
339,['CB']
340,"['CDM', 'CM', 'CAM']"
341,"['CM', 'CAM', 'CDM']"
342,"['CM', 'CDM', 'RB']"
343,['GK']
344,"['CAM', 'CM', 'LM']"
345,"['CDM', 'CM']"
346,"['CAM', 'RM', 'ST']"
347,"['CDM', 'CM', 'CB']"
348,['ST']
349,['CF']
350,"['LB', 'CB']"
351,"['LM', 'CAM', 'LW']"
352,"['ST', 'LM', 'RM']"
353,"['LW', 'CF']"
