,position
4761,['ST']
4762,"['CDM', 'CM']"
4763,"['RM', 'LM', 'CM', 'CAM']"
4764,"['LB', 'RB']"
4765,['CB']
4766,"['RB', 'LB']"
4767,"['CM', 'CAM']"
4768,"['CM', 'CDM', 'CAM', 'LM']"
4769,['GK']
4770,['CB']
4771,['CM']
4772,['CB']
4773,"['CDM', 'CM']"
4774,['GK']
4775,"['LB', 'LWB']"
4776,"['ST', 'RM']"
4777,['RM']
4778,"['RM', 'ST', 'RW']"
4779,['LB']
4780,['ST']
4781,"['LB', 'LM']"
4782,['RB']
4783,"['RW', 'LW', 'LM']"
4784,"['CDM', 'CB']"
4785,"['CDM', 'CM']"
4786,['LB']
4787,"['CDM', 'CM']"
4788,['CB']
4789,"['CAM', 'CM']"
4790,"['RM', 'ST', 'LM']"
4791,['GK']
4792,"['CM', 'CDM']"
4793,"['LB', 'RB']"
4794,"['LB', 'RB']"
4795,['CB']
4796,['LB']
4797,"['CB', 'CM']"
4798,['GK']
4799,['CDM']
4800,['RB']
4801,"['RB', 'LB']"
4802,['LB']
4803,['GK']
4804,"['LB', 'CM']"
4805,"['CB', 'CDM']"
4806,"['CAM', 'RM', 'LM']"
4807,['LM']
4808,['CB']
4809,"['CB', 'CDM']"
4810,['GK']
4811,"['ST', 'RM', 'CAM']"
4812,['GK']
4813,"['CDM', 'CM']"
4814,"['CM', 'CDM']"
4815,"['RB', 'LB']"
4816,['CB']
4817,"['CAM', 'ST']"
4818,"['RW', 'CF', 'LW']"
4819,['GK']
4820,['ST']
4821,['ST']
4822,['GK']
4823,"['CB', 'RB']"
4824,"['LM', 'RM', 'CAM']"
4825,"['CDM', 'CM']"
4826,"['CDM', 'CM']"
4827,"['CDM', 'CM']"
4828,"['CDM', 'CM']"
4829,"['CB', 'CDM']"
4830,['RB']
4831,['GK']
4832,['ST']
4833,"['CDM', 'CAM']"
4834,"['LM', 'ST']"
4835,['LB']
4836,['CDM']
4837,['CB']
4838,"['CDM', 'CM']"
4839,['CM']
4840,['ST']
4841,['CB']
4842,['RM']
4843,"['RM', 'LM', 'LB']"
4844,"['CDM', 'CM']"
4845,"['CDM', 'CM']"
4846,"['CM', 'CAM', 'LM', 'RM']"
4847,"['CDM', 'CM']"
4848,"['RB', 'LB']"
4849,"['LB', 'LM']"
4850,"['CDM', 'CB']"
4851,['RB']
4852,['LB']
4853,['ST']
4854,"['CDM', 'CM']"
4855,"['CB', 'RB']"
4856,['LB']
4857,"['LW', 'ST']"
4858,"['CDM', 'CB', 'CM']"
4859,['ST']
4860,"['CAM', 'RM']"
4861,"['CAM', 'CM']"
4862,['CB']
4863,['ST']
4864,['LM']
4865,"['CAM', 'RM']"
4866,"['LM', 'LWB', 'LB', 'ST']"
4867,['CM']
4868,"['RM', 'RB']"
4869,"['RB', 'RM']"
4870,"['RB', 'RWB']"
4871,"['CB', 'LB']"
4872,['ST']
4873,"['RM', 'LM', 'CAM']"
4874,['ST']
4875,['ST']
4876,['LB']
4877,['GK']
4878,"['RM', 'LM', 'RW', 'ST']"
4879,"['CAM', 'CM', 'CDM']"
4880,"['RB', 'CB']"
4881,"['CDM', 'CM']"
4882,['RB']
4883,['GK']
4884,"['CAM', 'RM']"
4885,"['RW', 'LW']"
4886,['CB']
4887,"['CAM', 'CM']"
4888,"['CM', 'CAM']"
4889,['CB']
4890,"['CB', 'LB']"
4891,"['CM', 'CDM']"
4892,"['ST', 'LM']"
4893,['LB']
4894,"['CB', 'LB']"
4895,['LB']
4896,['LB']
4897,['ST']
4898,['CB']
4899,['CB']
4900,['RB']
4901,"['RB', 'LB']"
4902,"['CM', 'CDM', 'CAM']"
4903,"['CM', 'CDM']"
4904,['CB']
4905,['GK']
4906,['CB']
4907,['ST']
4908,"['CM', 'CAM']"
4909,['GK']
4910,['CB']
4911,['CB']
4912,"['RM', 'LM', 'CAM']"
4913,['RB']
4914,"['CDM', 'CM']"
4915,"['LM', 'CAM', 'LW']"
4916,['RB']
4917,"['ST', 'LM']"
4918,"['CM', 'CAM', 'CDM']"
4919,"['RB', 'CB']"
4920,"['RWB', 'RB']"
4921,['CB']
4922,"['CDM', 'CM']"
4923,"['RB', 'RM']"
4924,['CB']
4925,"['ST', 'CAM']"
4926,['ST']
4927,"['CM', 'CDM']"
4928,['ST']
4929,"['LB', 'LM', 'LWB']"
4930,['GK']
4931,['ST']
4932,"['LB', 'LWB']"
4933,"['CM', 'RM']"
4934,"['RB', 'RM']"
4935,"['CDM', 'CAM', 'CM']"
4936,"['RB', 'LB', 'RWB']"
4937,"['RM', 'ST', 'CAM']"
4938,['CB']
4939,"['RM', 'LM']"
4940,['GK']
4941,['GK']
4942,['RB']
4943,['CAM']
4944,"['CM', 'LM']"
4945,"['CDM', 'CM']"
4946,['GK']
4947,['GK']
4948,"['CDM', 'CM']"
4949,['ST']
4950,"['CB', 'LB']"
4951,['ST']
4952,['CB']
4953,['CAM']
4954,"['ST', 'RW']"
4955,['CB']
4956,"['CB', 'LB']"
4957,"['CAM', 'RM', 'LM']"
4958,['GK']
4959,['LB']
4960,"['RW', 'CAM']"
4961,['CB']
4962,['ST']
4963,['ST']
4964,"['CM', 'CAM']"
4965,['CAM']
4966,"['RM', 'CM', 'CAM']"
4967,['ST']
4968,"['ST', 'CAM']"
4969,"['CAM', 'CM', 'RW']"
4970,['CM']
4971,['CB']
4972,['CB']
4973,['GK']
4974,['CB']
4975,"['LW', 'CAM']"
4976,"['LWB', 'LB']"
4977,"['LB', 'LWB']"
4978,['ST']
4979,['GK']
4980,"['CM', 'RB']"
4981,"['ST', 'RM']"
4982,"['CM', 'CDM']"
4983,"['RM', 'ST', 'LM']"
4984,['ST']
4985,"['RW', 'CAM', 'LW']"
4986,"['CDM', 'CM']"
4987,['GK']
4988,"['ST', 'CAM', 'LM']"
4989,['LB']
4990,['GK']
4991,"['CM', 'CDM']"
4992,"['LW', 'ST']"
4993,"['RB', 'RM']"
4994,"['RM', 'LM']"
4995,['LW']
4996,"['LB', 'LM']"
4997,['GK']
4998,['GK']
4999,"['CM', 'CAM']"
5000,"['CB', 'RB']"
5001,['RB']
5002,['CB']
5003,"['CB', 'LB']"
5004,['ST']
5005,['CM']
5006,"['LM', 'CAM', 'RM']"
5007,"['CDM', 'CM']"
5008,"['RB', 'RWB']"
5009,"['LM', 'LW']"
5010,['GK']
5011,['LM']
5012,"['CDM', 'CM', 'RM']"
5013,"['ST', 'LW']"
5014,['CB']
5015,"['RB', 'CB']"
5016,"['LB', 'LM']"
5017,"['ST', 'CAM']"
5018,['LB']
5019,['CB']
5020,['GK']
5021,['GK']
5022,"['CM', 'CDM']"
5023,"['RW', 'RWB', 'RM']"
5024,['ST']
5025,"['CAM', 'CM', 'CDM', 'LM']"
5026,['CB']
5027,['ST']
5028,"['LM', 'RM']"
5029,"['RB', 'CB', 'CM', 'LB']"
5030,"['LM', 'LB']"
5031,"['LB', 'LM', 'LWB']"
5032,['ST']
5033,"['RB', 'CB']"
5034,"['CM', 'CDM']"
5035,"['LB', 'CB']"
5036,['CB']
5037,"['RM', 'CAM']"
5038,['ST']
5039,"['LM', 'RM', 'CAM', 'ST']"
5040,"['RM', 'ST', 'LM']"
5041,"['RM', 'LM']"
5042,['CB']
5043,['ST']
5044,['CDM']
5045,['CM']
5046,"['LM', 'RM', 'LW', 'CM']"
5047,"['CB', 'CDM']"
5048,['ST']
5049,['ST']
5050,['GK']
5051,"['CM', 'CDM']"
5052,['ST']
5053,"['CM', 'CAM', 'CDM']"
5054,['CB']
5055,['CB']
5056,"['LM', 'CAM', 'RM']"
5057,['GK']
5058,['CB']
5059,['GK']
5060,"['CB', 'LB']"
5061,['ST']
5062,"['RM', 'LM']"
5063,['LM']
5064,"['ST', 'RM', 'LM']"
5065,"['CB', 'ST']"
5066,['CB']
5067,['GK']
5068,"['RM', 'LM']"
5069,['CB']
5070,"['CB', 'RB', 'CDM']"
5071,"['RM', 'ST']"
5072,['GK']
5073,['CB']
5074,['ST']
5075,['ST']
5076,"['ST', 'LM']"
5077,['ST']
5078,"['LB', 'LWB']"
5079,['CAM']
5080,"['LM', 'RM']"
5081,"['RM', 'LM', 'RW']"
5082,"['CM', 'CAM', 'CDM']"
5083,"['CM', 'CDM']"
5084,"['CM', 'LM']"
5085,['LB']
5086,['CB']
5087,['ST']
5088,"['RB', 'RM']"
5089,['CM']
5090,"['ST', 'CAM', 'LM', 'RM']"
5091,"['LB', 'LWB', 'RB']"
5092,['CB']
5093,['GK']
5094,['GK']
5095,['GK']
5096,['CB']
5097,"['CM', 'CDM']"
5098,['LB']
5099,"['LB', 'CB', 'LWB']"
5100,"['LB', 'CB', 'LWB']"
5101,"['RM', 'LM']"
5102,"['LM', 'CF']"
5103,['ST']
5104,['GK']
5105,"['LM', 'CAM', 'RM']"
5106,['LB']
5107,"['RM', 'LM']"
5108,"['CDM', 'CM']"
5109,"['CM', 'CAM']"
5110,['CDM']
5111,"['RM', 'LM', 'ST']"
5112,"['LB', 'CB']"
5113,['ST']
5114,"['RM', 'RW']"
5115,"['LB', 'CB']"
5116,['ST']
5117,"['CAM', 'LM']"
5118,"['LM', 'LW']"
5119,"['CB', 'CDM']"
5120,"['CAM', 'CM']"
5121,['LM']
5122,['ST']
5123,"['LB', 'LWB']"
5124,['CM']
5125,['GK']
5126,['RB']
5127,['GK']
5128,['RB']
5129,['CB']
5130,"['CM', 'RM']"
5131,['ST']
5132,"['CDM', 'CM']"
5133,"['ST', 'LW']"
5134,"['RM', 'LM', 'CAM']"
5135,['GK']
5136,['CDM']
5137,['ST']
5138,['RB']
5139,"['CDM', 'CM']"
5140,"['CAM', 'RM']"
5141,['RB']
5142,"['CM', 'CDM']"
5143,['CB']
5144,['GK']
5145,['CB']
5146,['CB']
5147,['RB']
5148,['CB']
5149,['ST']
5150,['CB']
5151,['CB']
5152,['LM']
5153,['CB']
5154,"['RW', 'RM']"
5155,['GK']
5156,"['CDM', 'CM']"
5157,['CM']
5158,"['CB', 'LB']"
5159,['ST']
5160,"['LB', 'CB']"
5161,['ST']
5162,['CB']
5163,"['LM', 'RM', 'LW']"
5164,['ST']
5165,['GK']
5166,['ST']
5167,['CB']
5168,['ST']
5169,['CB']
5170,"['CDM', 'CM']"
5171,"['LW', 'ST']"
5172,"['CAM', 'ST']"
5173,['GK']
5174,"['RB', 'LB', 'RM']"
5175,['GK']
5176,['CB']
5177,"['ST', 'CF']"
5178,"['CAM', 'LM', 'RM']"
5179,['ST']
5180,"['CDM', 'CM']"
5181,['CM']
5182,"['CM', 'RB']"
5183,['ST']
5184,['RB']
5185,"['RW', 'LW']"
5186,"['CDM', 'CM', 'CAM']"
5187,"['LB', 'LM']"
5188,"['ST', 'RM', 'LM']"
5189,"['CM', 'CAM', 'CDM']"
5190,"['CB', 'CDM']"
5191,"['CM', 'RB']"
5192,['LM']
5193,"['CDM', 'CM']"
5194,"['LW', 'CAM', 'RW', 'CM']"
5195,"['RM', 'ST']"
5196,['LB']
5197,"['CDM', 'RB', 'CB']"
5198,['ST']
5199,['LM']
5200,['CM']
5201,"['CM', 'CDM']"
5202,"['CM', 'CDM']"
5203,['RM']
5204,"['CM', 'CDM']"
5205,"['RB', 'RM']"
5206,"['LM', 'RM', 'CAM', 'CM']"
5207,"['CDM', 'CM']"
5208,"['RWB', 'RB']"
5209,['LB']
5210,['RB']
5211,"['CDM', 'CM']"
5212,['ST']
5213,['LB']
5214,['CAM']
5215,"['CM', 'CDM']"
5216,"['RM', 'RB', 'CDM']"
5217,"['ST', 'CAM', 'RM']"
5218,"['ST', 'LM']"
5219,['LB']
5220,['CB']
5221,['LB']
5222,"['CAM', 'CM']"
5223,"['RB', 'RWB']"
5224,"['LB', 'LW', 'LWB']"
5225,['CB']
5226,"['LM', 'RM', 'CAM']"
5227,['LM']
5228,['CB']
5229,"['CM', 'CDM']"
5230,['CAM']
5231,"['CM', 'CDM']"
5232,['ST']
5233,"['CF', 'CAM']"
5234,"['RB', 'CB', 'LB']"
5235,"['RM', 'RW']"
5236,"['CAM', 'RM', 'ST', 'LM']"
5237,"['CM', 'CDM']"
5238,['CB']
5239,"['CM', 'CDM']"
5240,['GK']
5241,['CB']
5242,"['CDM', 'CM']"
5243,['ST']
5244,"['RWB', 'RB']"
5245,"['CM', 'LM']"
5246,['CB']
5247,['LB']
5248,"['CAM', 'ST']"
5249,['CB']
5250,['CM']
5251,"['CDM', 'CM', 'CAM']"
5252,['CM']
5253,['CM']
5254,['ST']
5255,['CB']
5256,"['CDM', 'CM']"
5257,['CB']
5258,"['LW', 'ST', 'RW']"
5259,['CM']
5260,['CM']
5261,['GK']
5262,['RB']
5263,['LM']
5264,['ST']
5265,"['RM', 'LM', 'CAM']"
5266,['ST']
5267,['CDM']
5268,['GK']
5269,"['RM', 'RW', 'RB']"
5270,['GK']
5271,"['CM', 'CDM', 'CAM']"
5272,['CAM']
5273,"['LB', 'LM']"
5274,['CM']
5275,"['CAM', 'LM', 'RM']"
5276,['LB']
5277,['RB']
5278,"['LW', 'RW']"
5279,"['CM', 'CDM']"
5280,"['CB', 'CDM']"
5281,"['CM', 'CDM']"
5282,"['CB', 'CDM']"
5283,['CB']
5284,['GK']
5285,"['ST', 'CF']"
5286,['GK']
5287,['CB']
5288,"['CB', 'RB']"
5289,['ST']
5290,"['ST', 'RM', 'LM']"
5291,"['RB', 'CB', 'RM']"
5292,"['CM', 'RM']"
5293,"['CDM', 'CM']"
5294,"['CAM', 'RM']"
5295,"['RM', 'LM']"
5296,"['CAM', 'CM']"
5297,"['LM', 'RM']"
5298,"['RW', 'RM', 'ST']"
5299,['GK']
5300,['ST']
5301,['ST']
5302,"['CDM', 'CM']"
5303,['CDM']
5304,['CDM']
5305,['CB']
5306,"['RM', 'CM']"
5307,['CB']
5308,"['RM', 'CM']"
5309,['CM']
5310,"['CDM', 'CM']"
5311,"['CAM', 'RM', 'LM', 'CM']"
5312,['GK']
5313,"['LM', 'CAM', 'CM', 'CF']"
5314,['GK']
5315,['GK']
5316,"['RW', 'ST']"
5317,['GK']
5318,"['RM', 'ST', 'RW']"
5319,['RB']
5320,['CAM']
5321,"['CAM', 'RM']"
5322,['GK']
5323,['CDM']
5324,['CB']
5325,"['RB', 'CDM', 'LB']"
5326,"['RM', 'RW']"
5327,['CAM']
5328,"['RM', 'LM']"
5329,"['ST', 'RM']"
5330,['LB']
5331,['GK']
5332,"['CB', 'RB']"
5333,"['RW', 'LW']"
5334,['GK']
5335,"['LW', 'LB', 'CM', 'LM']"
5336,['RM']
5337,"['RB', 'RM']"
5338,"['LB', 'CB', 'RB']"
5339,"['RM', 'LM', 'LWB']"
5340,"['RB', 'RM', 'RWB']"
5341,"['CB', 'CDM']"
5342,['CB']
5343,['ST']
5344,['LB']
5345,"['LB', 'LM']"
5346,"['CM', 'RM']"
5347,"['CDM', 'CM']"
5348,['LB']
5349,"['ST', 'CAM']"
5350,"['CAM', 'CM', 'ST']"
5351,"['RW', 'LW', 'CM']"
5352,"['LW', 'RW']"
5353,['ST']
5354,['GK']
5355,['GK']
5356,['ST']
5357,"['RM', 'LM', 'LB', 'RB']"
5358,['CAM']
5359,['CDM']
5360,"['RB', 'LB']"
5361,['GK']
5362,"['LM', 'CAM', 'CDM', 'CM']"
5363,"['CB', 'CDM']"
5364,"['CB', 'CDM']"
5365,"['CAM', 'RM']"
5366,"['RM', 'ST', 'LM']"
5367,"['CM', 'CDM']"
5368,"['CM', 'CDM']"
5369,"['RB', 'LB']"
5370,['CB']
5371,['CAM']
5372,['RW']
5373,['GK']
5374,['ST']
5375,['LB']
5376,['ST']
5377,['RM']
5378,"['CM', 'CAM']"
5379,['GK']
5380,"['CB', 'CDM', 'CM']"
5381,"['CDM', 'CM']"
5382,"['RM', 'CM']"
5383,"['LB', 'RB', 'RM']"
5384,['CDM']
5385,"['LM', 'CM']"
5386,"['CB', 'LB']"
5387,"['LM', 'RM', 'CAM']"
5388,['GK']
5389,['RB']
5390,['ST']
5391,['ST']
5392,['CB']
5393,"['RM', 'CM']"
5394,"['ST', 'RW', 'LW']"
5395,['CB']
5396,"['CM', 'CDM']"
5397,"['RB', 'RWB']"
5398,['RB']
5399,['CB']
5400,['ST']
5401,['RB']
5402,"['ST', 'CAM']"
5403,"['RM', 'LM', 'RB']"
5404,"['CDM', 'CM']"
5405,['GK']
5406,['GK']
5407,['CB']
5408,['GK']
5409,['RB']
5410,['ST']
5411,['ST']
5412,"['LM', 'RM', 'LW']"
5413,"['LW', 'LM', 'CAM']"
5414,['CB']
5415,"['LM', 'LW', 'ST']"
5416,"['LM', 'RM', 'LW']"
5417,['CM']
5418,"['CM', 'RM']"
5419,"['LM', 'RW', 'RM']"
5420,['ST']
5421,['RB']
5422,"['CM', 'CDM', 'CAM']"
5423,['GK']
5424,"['RM', 'LM']"
5425,['CDM']
5426,['RB']
5427,['GK']
5428,['LB']
5429,"['ST', 'LW']"
5430,['RB']
5431,"['CM', 'CAM', 'LM']"
5432,['CM']
5433,"['RB', 'RM']"
5434,['CB']
5435,"['CDM', 'CM']"
5436,"['LW', 'LM']"
5437,['ST']
5438,['CAM']
5439,['CB']
5440,['CB']
5441,"['CM', 'CDM']"
5442,['CB']
5443,"['LWB', 'LB', 'LW']"
5444,['CB']
5445,"['CB', 'CDM', 'CM']"
5446,"['LM', 'RM', 'CF']"
5447,"['LB', 'RB']"
5448,"['CM', 'CDM']"
5449,"['CDM', 'CAM', 'CM']"
5450,"['CDM', 'CM']"
5451,"['LM', 'ST', 'RM']"
5452,['ST']
5453,['CAM']
5454,"['LB', 'LM']"
5455,['LW']
5456,['GK']
5457,['GK']
5458,"['CDM', 'CAM', 'CM', 'RM']"
5459,['CB']
5460,['ST']
5461,['ST']
5462,['CM']
5463,"['RB', 'RM', 'RWB']"
5464,"['RB', 'RWB', 'LB']"
5465,"['RM', 'CDM', 'CAM', 'CM']"
5466,"['CM', 'CDM']"
5467,"['RM', 'LM', 'CM']"
5468,"['RW', 'CM', 'LM', 'RM']"
5469,"['ST', 'RW', 'RM', 'LM']"
5470,['RM']
5471,['ST']
5472,['GK']
5473,"['LB', 'LM']"
5474,"['CDM', 'CM']"
5475,"['CDM', 'CM']"
5476,['CB']
5477,"['LM', 'CAM']"
5478,"['CM', 'CAM']"
5479,"['CAM', 'CF', 'CM']"
5480,['GK']
5481,['LB']
5482,"['LM', 'RM']"
5483,['CB']
5484,['GK']
5485,['CB']
5486,['ST']
5487,"['CDM', 'CM']"
5488,['ST']
5489,['ST']
5490,['LB']
5491,"['CM', 'CDM']"
5492,"['CB', 'RB']"
5493,"['ST', 'RM', 'LM']"
5494,"['CM', 'CDM']"
5495,"['CM', 'CDM']"
5496,['ST']
5497,['RB']
5498,['CB']
5499,"['CB', 'RB']"
5500,"['CAM', 'CM']"
5501,"['RB', 'CDM', 'CM']"
5502,"['CM', 'CDM']"
5503,"['CDM', 'CM']"
5504,"['RB', 'LB']"
5505,"['LM', 'ST']"
5506,['CB']
5507,"['RB', 'CB']"
5508,"['RB', 'CB']"
5509,['RB']
5510,['CDM']
5511,"['LW', 'ST', 'LM']"
5512,"['ST', 'RM']"
5513,['CB']
5514,"['RB', 'CB', 'CM']"
5515,['CB']
5516,"['LB', 'LM']"
5517,"['CDM', 'CB']"
5518,['GK']
5519,"['CDM', 'CM']"
5520,"['LB', 'LM']"
5521,"['CM', 'CDM']"
5522,['ST']
5523,['CDM']
5524,"['RW', 'CM']"
5525,['GK']
5526,"['LM', 'CAM']"
5527,['LB']
5528,"['LM', 'RM', 'LW', 'ST']"
5529,['CB']
5530,"['LM', 'CAM', 'CM']"
5531,"['RB', 'CDM', 'LB']"
5532,['CB']
5533,['CB']
5534,"['CDM', 'CM']"
5535,['ST']
5536,"['LM', 'RM', 'CAM']"
5537,"['RB', 'CDM']"
5538,['CAM']
5539,['CM']
5540,['CB']
5541,['GK']
5542,"['LM', 'CM']"
5543,['LB']
5544,"['CAM', 'RM', 'LM']"
5545,"['RB', 'LB']"
5546,"['CM', 'CDM']"
5547,"['CM', 'LM']"
5548,"['CDM', 'CB', 'RB']"
5549,['CB']
5550,"['CDM', 'CM']"
5551,['CM']
5552,"['RM', 'LM']"
5553,"['RWB', 'RB', 'CB']"
5554,['GK']
5555,"['ST', 'LW']"
5556,"['LB', 'CB']"
5557,['ST']
5558,['CB']
5559,['CB']
5560,['CDM']
5561,"['LM', 'ST', 'LW', 'CAM']"
5562,['ST']
5563,"['LM', 'CAM', 'RM']"
5564,['LB']
5565,['LB']
5566,['RM']
5567,"['ST', 'CM']"
5568,"['CDM', 'CM']"
5569,"['CB', 'LB']"
5570,"['RB', 'RM']"
5571,"['CB', 'CDM']"
5572,['CB']
5573,"['CM', 'CDM']"
5574,['CB']
5575,['ST']
5576,"['RB', 'RWB']"
5577,"['CB', 'CM', 'CDM']"
5578,['CB']
5579,['GK']
5580,['ST']
5581,['CB']
5582,"['CAM', 'CM', 'RW']"
5583,['CM']
5584,"['RB', 'RM']"
5585,"['CAM', 'CM']"
5586,['ST']
5587,"['CM', 'RM', 'LM']"
5588,['ST']
5589,['CAM']
5590,['CB']
5591,"['RM', 'LM', 'ST']"
5592,"['CM', 'CDM']"
5593,['LM']
5594,"['CB', 'LB', 'CDM']"
5595,['GK']
5596,"['RM', 'CAM']"
5597,"['CM', 'CDM']"
5598,['ST']
5599,['GK']
5600,['ST']
5601,"['CB', 'RB']"
5602,"['CM', 'CDM', 'CAM']"
5603,['ST']
5604,"['CM', 'CDM']"
5605,"['CDM', 'CM']"
5606,['ST']
5607,['CB']
5608,['ST']
5609,"['LM', 'RM']"
5610,"['LM', 'RM']"
5611,"['LM', 'CAM']"
5612,['ST']
5613,['CB']
5614,"['LM', 'CM']"
5615,['RM']
5616,['GK']
5617,['GK']
5618,"['CB', 'CDM', 'CM']"
5619,"['LB', 'LM']"
5620,['CDM']
5621,"['CM', 'CDM']"
5622,"['LM', 'RM']"
5623,"['ST', 'RW', 'CF']"
5624,['RB']
5625,"['ST', 'RM']"
5626,"['RB', 'RM']"
5627,['LB']
5628,['LB']
5629,['CB']
5630,"['CB', 'RB']"
5631,['ST']
5632,"['RM', 'CM']"
5633,"['LW', 'ST', 'RW']"
5634,['ST']
5635,['CDM']
5636,"['CAM', 'ST', 'CM']"
5637,['CB']
5638,['GK']
5639,"['CAM', 'CF']"
5640,['LB']
5641,"['CDM', 'CM']"
5642,['LB']
5643,['RB']
5644,"['CM', 'LM', 'CAM', 'CDM']"
5645,['ST']
5646,"['CM', 'CDM', 'RB']"
5647,['GK']
5648,"['RW', 'ST', 'LW']"
5649,"['CDM', 'CM']"
5650,['ST']
5651,['RB']
5652,['LB']
5653,['CB']
5654,['LM']
5655,['LB']
5656,"['CAM', 'LM']"
5657,['GK']
5658,['CM']
5659,['GK']
5660,['ST']
5661,['ST']
5662,['CB']
5663,"['RB', 'CB']"
5664,['CB']
5665,"['LW', 'CM']"
5666,"['ST', 'LM']"
5667,"['CDM', 'CM', 'CB']"
5668,"['ST', 'LW', 'LM', 'CF']"
5669,['GK']
5670,"['LB', 'CM', 'RW', 'LW']"
5671,"['RM', 'LM']"
5672,"['CAM', 'CM', 'LM']"
5673,"['CAM', 'RM', 'LM']"
5674,"['RB', 'RM']"
5675,['CB']
5676,"['CDM', 'CAM', 'CM']"
5677,['GK']
5678,"['RM', 'LM', 'ST']"
5679,"['CAM', 'CM']"
5680,"['CM', 'CAM']"
5681,"['ST', 'RM', 'LM']"
5682,['ST']
5683,['LB']
5684,"['RM', 'CM', 'RB', 'LM']"
5685,['LB']
5686,['CB']
5687,"['RB', 'LB', 'CDM']"
5688,"['CAM', 'LW']"
5689,['GK']
5690,"['CAM', 'LM', 'RM']"
5691,['ST']
5692,"['LB', 'CAM', 'LWB']"
5693,"['CM', 'CAM', 'LM']"
5694,"['CM', 'CAM']"
5695,['CB']
5696,['ST']
5697,['CB']
5698,['CB']
5699,['LM']
5700,"['LM', 'RM']"
5701,"['CDM', 'CM']"
5702,"['CB', 'RB']"
5703,"['LW', 'LM', 'LB']"
5704,"['CB', 'RB']"
5705,"['LM', 'ST']"
5706,['CB']
5707,['RM']
5708,['ST']
5709,['GK']
5710,"['CAM', 'RM', 'LM', 'ST']"
5711,['CB']
5712,['CB']
5713,['CB']
5714,"['CB', 'RB', 'CDM']"
5715,['ST']
5716,['ST']
5717,"['RM', 'LM']"
5718,"['ST', 'CF']"
5719,['ST']
5720,['CB']
5721,['CB']
5722,"['CB', 'LB']"
5723,['CB']
5724,"['CF', 'CAM']"
5725,"['RM', 'LM']"
5726,"['LM', 'CAM']"
5727,['ST']
5728,"['ST', 'LW', 'RW']"
5729,"['LM', 'RM']"
5730,"['CAM', 'LM']"
5731,"['LW', 'RW']"
5732,['CB']
5733,['GK']
5734,"['LW', 'ST', 'LM']"
5735,"['LB', 'CB']"
5736,"['CM', 'CDM', 'RM']"
5737,['RB']
5738,"['CM', 'RM', 'CDM']"
5739,"['LW', 'LM']"
5740,"['ST', 'LM', 'RM']"
5741,"['CAM', 'ST', 'RM', 'LM']"
5742,['ST']
5743,['CB']
5744,['CB']
5745,"['CAM', 'CM', 'LW']"
5746,"['CM', 'RB']"
5747,['CB']
5748,"['CM', 'RB', 'CDM']"
5749,['RM']
5750,['RB']
5751,['CB']
5752,['ST']
5753,"['LB', 'LM']"
5754,['GK']
5755,"['CM', 'RB', 'CAM']"
5756,['CB']
5757,['CB']
5758,"['ST', 'LM', 'CAM']"
5759,['ST']
5760,['RM']
5761,['CDM']
5762,"['CB', 'RB']"
5763,"['CB', 'RB']"
5764,"['CAM', 'CM']"
5765,"['CM', 'RM']"
5766,['CB']
5767,"['CAM', 'CM']"
5768,['ST']
5769,"['CM', 'CDM']"
5770,['CB']
5771,"['RM', 'LM']"
5772,['GK']
5773,"['LB', 'LM']"
5774,['RB']
5775,['RB']
5776,['GK']
5777,"['CDM', 'CM', 'CB']"
5778,"['CB', 'RB']"
5779,"['ST', 'LM']"
5780,"['RB', 'RWB']"
5781,['CAM']
5782,"['RB', 'RWB']"
5783,['CB']
5784,"['RB', 'RM']"
5785,"['CM', 'CDM', 'CB']"
5786,"['ST', 'LW']"
5787,"['CDM', 'CAM']"
5788,['GK']
5789,['CM']
5790,['CM']
5791,"['RB', 'LB']"
5792,"['CF', 'ST']"
5793,['GK']
5794,"['LW', 'RW']"
5795,['CB']
5796,"['CDM', 'CB']"
5797,"['CAM', 'LM', 'CM']"
5798,['ST']
5799,"['LB', 'RB', 'CB']"
5800,['CB']
5801,['ST']
5802,"['ST', 'RM']"
5803,['ST']
5804,['CB']
5805,"['LB', 'LWB']"
5806,['CB']
5807,['RB']
5808,"['CDM', 'CB']"
5809,"['CAM', 'CDM', 'CM']"
5810,"['CB', 'LB', 'RB']"
5811,['GK']
5812,['GK']
5813,['CDM']
5814,['CDM']
5815,['ST']
5816,['RB']
5817,"['RM', 'LM', 'ST']"
5818,"['CAM', 'LW', 'RW', 'CF']"
5819,"['LM', 'RM']"
5820,['ST']
5821,"['CB', 'RB']"
5822,"['CB', 'CDM']"
5823,['CB']
5824,['GK']
5825,"['CM', 'LM']"
5826,"['CB', 'RB']"
5827,"['CB', 'RB']"
5828,"['RB', 'RM']"
5829,['CB']
5830,"['RB', 'RM']"
5831,"['CM', 'CAM']"
5832,"['RM', 'LM', 'ST']"
5833,['ST']
5834,['ST']
5835,['GK']
5836,"['CM', 'CDM']"
5837,"['CM', 'CAM']"
5838,"['RM', 'LM']"
5839,"['CAM', 'CF']"
5840,"['LB', 'RB', 'RWB', 'LWB']"
5841,['ST']
5842,['CB']
5843,['GK']
5844,['ST']
5845,"['LB', 'LM']"
5846,['CAM']
5847,"['CDM', 'CM']"
5848,"['CDM', 'CM']"
5849,['LB']
5850,['LB']
