,Weight
532,79kg
533,83kg
534,76kg
535,83kg
536,79kg
537,85kg
538,90kg
539,89kg
540,68kg
541,78kg
542,80kg
543,69kg
544,83kg
545,69kg
546,75kg
547,78kg
548,70kg
549,62kg
550,70kg
551,76kg
552,80kg
553,81kg
554,70kg
555,86kg
556,69kg
557,83kg
558,66kg
559,70kg
560,65kg
561,65kg
562,72kg
563,64kg
564,70kg
565,75kg
566,83kg
567,78kg
568,85kg
569,68kg
570,78kg
571,68kg
572,66kg
573,67kg
574,74kg
575,63kg
576,71kg
577,75kg
578,73kg
579,69kg
580,83kg
581,74kg
582,73kg
583,75kg
584,70kg
585,78kg
586,85kg
587,87kg
588,73kg
589,100kg
590,75kg
591,81kg
592,71kg
593,80kg
594,68kg
595,76kg
596,77kg
597,81kg
598,86kg
599,64kg
600,76kg
601,71kg
602,78kg
603,74kg
604,71kg
605,67kg
606,70kg
607,72kg
608,76kg
609,78kg
610,76kg
611,85kg
612,85kg
613,77kg
614,77kg
615,81kg
616,80kg
617,62kg
618,92kg
619,73kg
620,77kg
621,72kg
622,72kg
623,84kg
624,82kg
625,84kg
626,63kg
627,75kg
628,86kg
629,80kg
630,80kg
631,75kg
632,74kg
633,86kg
634,78kg
635,75kg
636,70kg
637,80kg
638,75kg
639,76kg
640,84kg
641,72kg
642,65kg
643,83kg
644,73kg
645,80kg
646,79kg
647,83kg
648,69kg
649,75kg
650,76kg
651,83kg
652,92kg
653,83kg
654,60kg
655,77kg
656,69kg
657,75kg
658,73kg
659,81kg
660,85kg
661,69kg
662,80kg
663,80kg
664,76kg
665,79kg
666,72kg
667,66kg
668,72kg
669,73kg
670,85kg
671,77kg
672,82kg
673,75kg
674,68kg
675,72kg
676,78kg
677,74kg
678,83kg
679,76kg
680,84kg
681,65kg
682,87kg
683,72kg
684,75kg
685,86kg
686,84kg
687,80kg
688,77kg
689,77kg
690,85kg
691,93kg
692,86kg
693,87kg
694,82kg
695,75kg
696,72kg
697,80kg
698,66kg
699,76kg
700,66kg
701,66kg
702,77kg
703,78kg
704,82kg
705,83kg
706,91kg
707,67kg
708,84kg
709,73kg
710,73kg
711,79kg
712,77kg
713,73kg
714,73kg
715,80kg
716,64kg
717,70kg
718,86kg
719,70kg
720,80kg
721,70kg
722,74kg
723,75kg
724,75kg
725,81kg
726,77kg
727,76kg
728,71kg
