,Weight
4925,80kg
4926,88kg
4927,76kg
4928,90kg
4929,80kg
4930,85kg
4931,76kg
4932,69kg
4933,73kg
4934,74kg
4935,72kg
4936,75kg
4937,82kg
4938,77kg
4939,78kg
4940,77kg
4941,86kg
4942,75kg
4943,72kg
4944,75kg
4945,75kg
4946,75kg
4947,75kg
4948,73kg
4949,80kg
4950,91kg
4951,73kg
4952,84kg
4953,72kg
4954,82kg
4955,81kg
4956,80kg
4957,67kg
4958,77kg
4959,65kg
4960,71kg
4961,78kg
4962,69kg
4963,88kg
4964,73kg
4965,75kg
4966,83kg
4967,81kg
4968,91kg
4969,81kg
4970,69kg
4971,83kg
4972,79kg
4973,79kg
4974,93kg
4975,70kg
4976,78kg
4977,70kg
4978,67kg
4979,80kg
4980,76kg
4981,73kg
4982,67kg
4983,74kg
4984,82kg
4985,72kg
4986,76kg
4987,78kg
4988,71kg
4989,80kg
4990,78kg
4991,77kg
4992,75kg
4993,70kg
4994,70kg
4995,71kg
4996,71kg
4997,80kg
4998,80kg
4999,73kg
5000,75kg
5001,76kg
5002,80kg
5003,81kg
5004,80kg
5005,70kg
5006,76kg
5007,79kg
5008,71kg
5009,63kg
5010,95kg
5011,74kg
5012,82kg
5013,81kg
5014,89kg
5015,75kg
5016,78kg
5017,76kg
5018,76kg
5019,71kg
5020,78kg
5021,83kg
5022,65kg
5023,77kg
5024,71kg
5025,72kg
5026,84kg
5027,78kg
5028,81kg
5029,77kg
5030,70kg
5031,74kg
5032,79kg
5033,84kg
5034,74kg
5035,77kg
5036,90kg
5037,82kg
5038,88kg
5039,68kg
5040,75kg
5041,69kg
5042,78kg
5043,80kg
5044,85kg
5045,64kg
5046,65kg
5047,74kg
5048,81kg
5049,81kg
5050,80kg
5051,71kg
5052,95kg
5053,78kg
5054,83kg
5055,75kg
5056,64kg
5057,85kg
5058,85kg
5059,80kg
5060,88kg
5061,76kg
5062,55kg
5063,70kg
5064,81kg
5065,91kg
5066,75kg
5067,98kg
5068,72kg
5069,70kg
5070,81kg
5071,70kg
5072,87kg
5073,76kg
5074,83kg
5075,81kg
5076,76kg
5077,81kg
5078,73kg
5079,74kg
5080,62kg
5081,66kg
5082,70kg
5083,69kg
5084,67kg
5085,83kg
5086,75kg
5087,88kg
5088,66kg
5089,76kg
5090,75kg
5091,76kg
5092,80kg
5093,80kg
5094,80kg
5095,69kg
5096,71kg
5097,84kg
5098,68kg
5099,72kg
5100,72kg
5101,70kg
5102,68kg
5103,83kg
5104,84kg
5105,73kg
5106,76kg
5107,71kg
5108,78kg
5109,69kg
5110,71kg
5111,76kg
5112,68kg
5113,85kg
5114,65kg
5115,78kg
5116,69kg
5117,74kg
5118,66kg
5119,79kg
5120,70kg
5121,73kg
5122,70kg
5123,70kg
5124,80kg
5125,82kg
5126,76kg
5127,87kg
5128,82kg
5129,79kg
5130,70kg
5131,80kg
5132,70kg
5133,78kg
5134,74kg
5135,79kg
5136,79kg
5137,82kg
5138,74kg
5139,73kg
5140,78kg
5141,65kg
5142,78kg
5143,75kg
5144,78kg
5145,82kg
5146,84kg
5147,72kg
5148,80kg
5149,78kg
5150,81kg
5151,81kg
5152,70kg
5153,92kg
5154,73kg
5155,80kg
5156,72kg
5157,71kg
5158,75kg
5159,72kg
5160,74kg
5161,81kg
5162,82kg
5163,72kg
5164,78kg
5165,84kg
5166,78kg
5167,83kg
5168,80kg
5169,88kg
5170,85kg
5171,77kg
5172,71kg
5173,85kg
5174,76kg
5175,85kg
5176,79kg
5177,70kg
5178,70kg
5179,73kg
5180,75kg
5181,68kg
5182,75kg
5183,71kg
5184,66kg
5185,64kg
5186,75kg
5187,72kg
5188,59kg
5189,65kg
5190,79kg
5191,76kg
5192,68kg
5193,69kg
5194,75kg
5195,74kg
5196,75kg
5197,72kg
5198,75kg
5199,72kg
5200,81kg
5201,77kg
5202,77kg
5203,72kg
5204,70kg
5205,66kg
5206,72kg
5207,78kg
5208,72kg
5209,79kg
5210,68kg
5211,79kg
5212,75kg
5213,67kg
5214,65kg
5215,80kg
5216,64kg
5217,74kg
5218,72kg
5219,68kg
5220,80kg
5221,73kg
5222,65kg
5223,73kg
5224,72kg
5225,75kg
5226,72kg
5227,73kg
5228,86kg
5229,60kg
5230,64kg
5231,77kg
5232,64kg
5233,75kg
5234,82kg
5235,78kg
5236,67kg
5237,73kg
5238,79kg
5239,70kg
5240,86kg
5241,81kg
5242,64kg
5243,70kg
5244,71kg
5245,64kg
5246,77kg
5247,81kg
5248,78kg
5249,80kg
5250,80kg
5251,77kg
5252,70kg
5253,70kg
5254,67kg
5255,76kg
5256,75kg
5257,83kg
5258,73kg
5259,68kg
5260,75kg
5261,82kg
5262,75kg
5263,72kg
5264,76kg
5265,70kg
5266,78kg
5267,79kg
5268,84kg
5269,70kg
5270,85kg
5271,78kg
5272,70kg
5273,65kg
5274,72kg
5275,77kg
5276,70kg
5277,66kg
5278,80kg
5279,70kg
5280,89kg
5281,71kg
5282,82kg
5283,86kg
5284,82kg
5285,75kg
5286,90kg
5287,73kg
5288,73kg
5289,76kg
5290,72kg
5291,74kg
5292,79kg
5293,73kg
5294,71kg
5295,60kg
5296,67kg
5297,72kg
5298,73kg
5299,88kg
5300,69kg
5301,80kg
5302,77kg
5303,79kg
5304,79kg
5305,81kg
5306,68kg
5307,74kg
5308,67kg
5309,74kg
5310,75kg
5311,60kg
5312,76kg
5313,66kg
5314,88kg
5315,87kg
5316,79kg
5317,90kg
5318,66kg
5319,70kg
5320,75kg
5321,65kg
5322,81kg
5323,77kg
5324,80kg
5325,65kg
5326,71kg
5327,65kg
5328,68kg
5329,78kg
5330,65kg
5331,78kg
5332,74kg
5333,70kg
5334,75kg
5335,72kg
5336,63kg
5337,73kg
5338,80kg
5339,79kg
5340,72kg
5341,88kg
5342,80kg
5343,79kg
5344,87kg
5345,71kg
5346,65kg
5347,68kg
5348,74kg
5349,71kg
5350,76kg
5351,70kg
5352,78kg
5353,74kg
5354,100kg
5355,100kg
5356,84kg
5357,72kg
5358,81kg
5359,82kg
5360,70kg
5361,94kg
5362,73kg
5363,81kg
5364,88kg
5365,70kg
5366,75kg
5367,74kg
5368,71kg
5369,82kg
5370,89kg
5371,71kg
5372,70kg
5373,92kg
5374,82kg
5375,76kg
5376,79kg
5377,70kg
5378,76kg
5379,86kg
5380,93kg
5381,74kg
5382,67kg
5383,72kg
5384,77kg
5385,70kg
5386,86kg
5387,72kg
5388,80kg
5389,84kg
5390,83kg
5391,70kg
5392,93kg
5393,72kg
5394,75kg
5395,80kg
5396,84kg
5397,71kg
5398,67kg
5399,90kg
5400,79kg
5401,66kg
5402,71kg
5403,67kg
5404,76kg
5405,86kg
5406,86kg
5407,88kg
5408,86kg
5409,65kg
5410,79kg
5411,80kg
5412,73kg
5413,73kg
5414,85kg
5415,86kg
5416,63kg
5417,80kg
5418,68kg
5419,62kg
5420,90kg
5421,74kg
5422,78kg
5423,85kg
5424,74kg
5425,73kg
5426,65kg
5427,86kg
5428,75kg
5429,70kg
5430,64kg
5431,67kg
5432,75kg
5433,67kg
5434,80kg
5435,78kg
5436,67kg
5437,82kg
5438,68kg
5439,79kg
5440,73kg
5441,80kg
5442,83kg
5443,73kg
5444,79kg
5445,72kg
5446,71kg
5447,72kg
5448,76kg
5449,63kg
5450,70kg
5451,78kg
5452,80kg
5453,76kg
5454,62kg
5455,75kg
5456,72kg
5457,72kg
5458,73kg
5459,88kg
5460,73kg
5461,73kg
5462,60kg
5463,72kg
5464,61kg
5465,84kg
5466,76kg
5467,73kg
5468,78kg
5469,75kg
5470,68kg
5471,81kg
5472,81kg
5473,70kg
5474,70kg
5475,82kg
5476,84kg
5477,69kg
5478,65kg
5479,65kg
5480,82kg
5481,73kg
5482,73kg
5483,71kg
5484,85kg
5485,78kg
5486,74kg
5487,71kg
5488,75kg
5489,78kg
5490,76kg
5491,78kg
5492,72kg
5493,76kg
5494,78kg
5495,71kg
5496,72kg
5497,73kg
5498,77kg
5499,78kg
5500,75kg
5501,74kg
5502,70kg
5503,74kg
5504,75kg
5505,63kg
5506,81kg
5507,84kg
5508,84kg
5509,70kg
5510,67kg
5511,75kg
5512,78kg
5513,80kg
5514,74kg
5515,82kg
5516,71kg
5517,77kg
5518,87kg
5519,77kg
5520,79kg
5521,79kg
5522,82kg
5523,81kg
5524,69kg
5525,84kg
5526,66kg
5527,72kg
5528,74kg
5529,86kg
5530,73kg
5531,71kg
5532,81kg
5533,90kg
5534,68kg
5535,76kg
5536,77kg
5537,79kg
5538,75kg
5539,70kg
5540,72kg
5541,83kg
5542,77kg
5543,69kg
5544,70kg
5545,78kg
5546,70kg
5547,68kg
5548,72kg
5549,75kg
5550,78kg
5551,64kg
5552,75kg
5553,65kg
5554,90kg
5555,76kg
5556,77kg
5557,82kg
5558,89kg
5559,89kg
5560,73kg
5561,72kg
5562,82kg
5563,71kg
5564,66kg
5565,78kg
5566,78kg
5567,79kg
5568,71kg
5569,93kg
5570,80kg
5571,76kg
5572,78kg
5573,70kg
5574,84kg
5575,78kg
5576,72kg
5577,80kg
5578,85kg
5579,82kg
5580,82kg
5581,83kg
5582,63kg
5583,68kg
5584,71kg
5585,71kg
5586,79kg
5587,75kg
5588,85kg
5589,85kg
5590,83kg
5591,75kg
5592,74kg
5593,70kg
5594,76kg
5595,77kg
5596,66kg
5597,68kg
5598,64kg
5599,80kg
5600,76kg
5601,77kg
5602,72kg
5603,65kg
5604,68kg
5605,74kg
5606,82kg
5607,79kg
5608,75kg
5609,70kg
5610,70kg
5611,65kg
5612,84kg
5613,80kg
5614,79kg
5615,64kg
5616,91kg
5617,77kg
5618,82kg
5619,70kg
5620,70kg
5621,67kg
5622,60kg
5623,73kg
5624,73kg
5625,79kg
5626,66kg
5627,73kg
5628,75kg
5629,85kg
5630,80kg
5631,82kg
5632,73kg
5633,68kg
5634,82kg
5635,91kg
5636,64kg
5637,85kg
5638,93kg
5639,76kg
5640,76kg
5641,74kg
5642,77kg
5643,76kg
5644,68kg
5645,79kg
5646,72kg
5647,76kg
5648,77kg
5649,76kg
5650,84kg
5651,81kg
5652,68kg
5653,92kg
5654,69kg
5655,73kg
5656,68kg
5657,84kg
5658,67kg
5659,83kg
5660,71kg
5661,71kg
5662,90kg
5663,75kg
5664,90kg
5665,67kg
5666,86kg
5667,73kg
5668,77kg
5669,83kg
5670,68kg
5671,67kg
5672,76kg
5673,79kg
5674,74kg
5675,77kg
5676,70kg
5677,78kg
5678,76kg
5679,78kg
5680,81kg
5681,81kg
5682,86kg
5683,73kg
5684,73kg
5685,70kg
5686,86kg
5687,75kg
5688,75kg
5689,84kg
5690,70kg
5691,76kg
5692,64kg
5693,63kg
5694,67kg
5695,86kg
5696,74kg
5697,78kg
5698,72kg
5699,70kg
5700,62kg
5701,70kg
5702,73kg
5703,76kg
5704,82kg
5705,62kg
5706,80kg
5707,76kg
5708,70kg
5709,80kg
5710,71kg
5711,84kg
5712,84kg
5713,90kg
5714,83kg
5715,89kg
5716,84kg
5717,67kg
5718,70kg
5719,83kg
5720,84kg
5721,85kg
5722,85kg
5723,84kg
5724,68kg
5725,71kg
5726,65kg
5727,85kg
5728,75kg
5729,74kg
5730,70kg
5731,72kg
5732,87kg
5733,76kg
5734,73kg
5735,74kg
5736,65kg
5737,79kg
5738,69kg
5739,69kg
5740,84kg
5741,72kg
5742,74kg
5743,86kg
5744,84kg
5745,67kg
5746,65kg
5747,79kg
5748,77kg
5749,77kg
5750,74kg
5751,95kg
5752,85kg
5753,74kg
5754,89kg
5755,86kg
5756,81kg
5757,80kg
5758,85kg
5759,77kg
5760,77kg
5761,86kg
5762,78kg
5763,78kg
5764,78kg
5765,73kg
5766,87kg
5767,60kg
5768,99kg
5769,84kg
5770,83kg
5771,72kg
5772,90kg
5773,67kg
5774,72kg
5775,78kg
5776,90kg
5777,84kg
5778,70kg
5779,88kg
5780,76kg
5781,71kg
5782,70kg
5783,88kg
5784,78kg
5785,80kg
5786,68kg
5787,75kg
5788,75kg
5789,70kg
5790,80kg
5791,70kg
5792,74kg
5793,80kg
5794,75kg
5795,84kg
5796,79kg
5797,64kg
5798,82kg
5799,74kg
5800,82kg
5801,74kg
5802,90kg
5803,77kg
5804,74kg
5805,75kg
5806,75kg
5807,68kg
5808,84kg
5809,73kg
5810,71kg
5811,90kg
5812,81kg
5813,76kg
5814,76kg
5815,73kg
5816,75kg
5817,79kg
5818,75kg
5819,65kg
5820,85kg
5821,76kg
5822,73kg
5823,81kg
5824,86kg
5825,63kg
5826,78kg
5827,80kg
5828,81kg
5829,81kg
5830,70kg
5831,71kg
5832,82kg
5833,80kg
5834,75kg
5835,84kg
5836,73kg
5837,68kg
5838,67kg
5839,77kg
5840,76kg
5841,79kg
5842,87kg
5843,84kg
5844,72kg
5845,83kg
5846,70kg
5847,82kg
5848,69kg
5849,65kg
5850,79kg
5851,77kg
5852,75kg
5853,83kg
5854,74kg
5855,80kg
5856,76kg
5857,80kg
5858,84kg
5859,70kg
5860,72kg
5861,75kg
5862,74kg
5863,78kg
5864,77kg
5865,77kg
5866,76kg
5867,77kg
5868,75kg
5869,65kg
5870,78kg
5871,71kg
5872,72kg
5873,85kg
5874,80kg
5875,83kg
5876,95kg
5877,74kg
5878,74kg
5879,85kg
5880,85kg
5881,60kg
5882,80kg
5883,86kg
5884,72kg
5885,90kg
5886,71kg
5887,88kg
5888,65kg
5889,81kg
5890,74kg
5891,66kg
5892,78kg
5893,87kg
5894,64kg
5895,86kg
5896,76kg
5897,67kg
5898,76kg
5899,78kg
5900,78kg
5901,70kg
5902,79kg
5903,72kg
5904,67kg
5905,77kg
5906,84kg
5907,81kg
5908,75kg
5909,83kg
5910,76kg
5911,85kg
5912,78kg
5913,70kg
5914,76kg
5915,73kg
5916,73kg
5917,78kg
5918,83kg
5919,74kg
5920,74kg
5921,89kg
5922,67kg
5923,80kg
5924,69kg
5925,71kg
5926,76kg
5927,93kg
5928,86kg
5929,87kg
5930,72kg
5931,70kg
5932,67kg
5933,80kg
5934,80kg
5935,70kg
5936,77kg
5937,87kg
5938,64kg
5939,74kg
5940,70kg
5941,76kg
5942,86kg
5943,79kg
5944,78kg
5945,74kg
5946,73kg
5947,79kg
5948,72kg
5949,83kg
5950,76kg
5951,75kg
5952,77kg
5953,71kg
5954,82kg
5955,76kg
5956,71kg
5957,67kg
5958,71kg
5959,75kg
5960,89kg
5961,65kg
5962,76kg
5963,75kg
5964,73kg
5965,79kg
5966,79kg
5967,79kg
5968,73kg
5969,60kg
5970,73kg
5971,77kg
5972,73kg
5973,79kg
5974,73kg
5975,72kg
5976,75kg
5977,68kg
5978,79kg
5979,75kg
5980,75kg
5981,93kg
5982,71kg
5983,87kg
5984,77kg
5985,72kg
5986,81kg
5987,75kg
5988,66kg
5989,88kg
5990,87kg
5991,63kg
5992,81kg
5993,78kg
5994,77kg
5995,91kg
5996,76kg
5997,70kg
5998,81kg
5999,79kg
6000,65kg
6001,73kg
6002,90kg
6003,67kg
6004,63kg
6005,80kg
6006,71kg
6007,79kg
6008,77kg
6009,81kg
6010,82kg
6011,87kg
6012,73kg
6013,80kg
6014,56kg
6015,86kg
6016,88kg
6017,78kg
6018,78kg
6019,71kg
6020,75kg
6021,85kg
6022,60kg
6023,90kg
6024,77kg
6025,73kg
6026,73kg
6027,80kg
6028,88kg
6029,70kg
6030,67kg
6031,83kg
6032,75kg
6033,65kg
6034,79kg
6035,79kg
6036,69kg
6037,68kg
6038,70kg
6039,72kg
6040,78kg
6041,78kg
6042,71kg
6043,75kg
6044,78kg
6045,94kg
6046,76kg
6047,73kg
6048,83kg
6049,88kg
6050,88kg
6051,64kg
6052,65kg
6053,93kg
6054,80kg
6055,68kg
6056,74kg
6057,87kg
6058,80kg
6059,72kg
6060,78kg
6061,83kg
6062,84kg
6063,90kg
6064,70kg
6065,78kg
6066,71kg
6067,70kg
6068,78kg
6069,78kg
6070,78kg
6071,75kg
6072,75kg
6073,65kg
6074,68kg
6075,80kg
6076,70kg
6077,85kg
6078,82kg
6079,70kg
6080,79kg
6081,68kg
6082,85kg
6083,80kg
6084,76kg
6085,71kg
6086,84kg
6087,84kg
6088,78kg
6089,70kg
6090,79kg
6091,72kg
6092,82kg
6093,74kg
6094,75kg
6095,70kg
6096,78kg
6097,79kg
6098,77kg
6099,86kg
6100,77kg
6101,75kg
6102,73kg
6103,78kg
6104,79kg
6105,82kg
6106,74kg
6107,73kg
6108,70kg
6109,75kg
6110,75kg
6111,70kg
6112,80kg
6113,72kg
6114,73kg
6115,88kg
6116,63kg
6117,72kg
6118,72kg
6119,70kg
6120,70kg
6121,82kg
6122,68kg
6123,84kg
6124,74kg
6125,65kg
6126,79kg
6127,70kg
6128,75kg
6129,86kg
6130,78kg
6131,81kg
6132,70kg
6133,67kg
6134,86kg
6135,64kg
6136,80kg
6137,70kg
6138,85kg
6139,82kg
6140,76kg
6141,80kg
6142,74kg
6143,86kg
6144,60kg
6145,77kg
6146,81kg
6147,70kg
6148,64kg
6149,67kg
6150,65kg
6151,71kg
6152,89kg
6153,78kg
6154,89kg
6155,73kg
6156,81kg
6157,70kg
6158,70kg
6159,84kg
6160,87kg
6161,83kg
6162,75kg
6163,84kg
6164,83kg
6165,83kg
6166,71kg
6167,65kg
6168,82kg
6169,82kg
6170,71kg
6171,71kg
6172,73kg
6173,68kg
6174,81kg
6175,80kg
6176,75kg
6177,71kg
6178,82kg
6179,67kg
6180,67kg
6181,73kg
6182,77kg
6183,78kg
6184,78kg
6185,84kg
6186,72kg
6187,73kg
6188,68kg
6189,75kg
6190,64kg
6191,91kg
6192,85kg
6193,70kg
6194,72kg
6195,67kg
6196,84kg
6197,79kg
6198,77kg
6199,65kg
6200,79kg
6201,81kg
6202,82kg
6203,70kg
6204,67kg
6205,85kg
6206,90kg
6207,70kg
6208,69kg
6209,76kg
6210,91kg
6211,73kg
6212,70kg
6213,67kg
6214,82kg
6215,80kg
6216,83kg
6217,68kg
6218,77kg
6219,81kg
6220,74kg
6221,74kg
6222,74kg
6223,76kg
6224,79kg
6225,73kg
6226,70kg
6227,77kg
6228,78kg
6229,78kg
6230,84kg
6231,75kg
6232,56kg
6233,75kg
6234,73kg
6235,70kg
6236,86kg
6237,75kg
6238,76kg
6239,60kg
6240,80kg
6241,66kg
6242,61kg
6243,76kg
6244,78kg
6245,92kg
6246,82kg
6247,92kg
6248,59kg
6249,79kg
6250,80kg
6251,83kg
6252,74kg
6253,73kg
6254,77kg
6255,76kg
6256,78kg
6257,84kg
6258,77kg
6259,84kg
6260,77kg
6261,77kg
6262,77kg
6263,69kg
6264,67kg
6265,83kg
6266,69kg
6267,71kg
6268,73kg
6269,78kg
6270,74kg
6271,88kg
6272,71kg
6273,71kg
6274,73kg
6275,78kg
6276,82kg
6277,80kg
6278,61kg
6279,80kg
6280,75kg
6281,62kg
6282,80kg
6283,70kg
6284,70kg
6285,75kg
6286,76kg
6287,86kg
6288,78kg
6289,68kg
6290,65kg
6291,78kg
6292,62kg
6293,71kg
6294,75kg
6295,75kg
6296,67kg
6297,76kg
6298,72kg
6299,72kg
6300,65kg
6301,82kg
6302,80kg
6303,74kg
6304,72kg
6305,84kg
6306,77kg
6307,77kg
6308,79kg
6309,80kg
6310,60kg
6311,79kg
6312,63kg
6313,76kg
6314,69kg
6315,78kg
6316,75kg
6317,84kg
6318,79kg
6319,83kg
6320,79kg
6321,87kg
6322,75kg
6323,78kg
6324,78kg
6325,75kg
6326,60kg
6327,70kg
6328,70kg
6329,68kg
6330,75kg
6331,66kg
6332,66kg
6333,70kg
6334,77kg
6335,68kg
6336,77kg
6337,77kg
6338,80kg
6339,74kg
6340,72kg
6341,69kg
6342,69kg
6343,84kg
6344,83kg
6345,79kg
6346,73kg
6347,71kg
6348,74kg
6349,69kg
6350,60kg
6351,64kg
6352,68kg
6353,73kg
6354,82kg
6355,75kg
6356,79kg
6357,86kg
6358,69kg
6359,82kg
6360,73kg
6361,74kg
6362,88kg
6363,80kg
6364,79kg
6365,66kg
6366,84kg
6367,60kg
6368,84kg
6369,74kg
6370,84kg
6371,75kg
6372,76kg
6373,72kg
6374,65kg
6375,65kg
6376,80kg
6377,75kg
6378,73kg
6379,72kg
6380,78kg
6381,72kg
6382,73kg
6383,82kg
6384,83kg
6385,69kg
6386,76kg
6387,85kg
6388,85kg
6389,80kg
6390,84kg
6391,74kg
6392,83kg
6393,78kg
6394,75kg
6395,68kg
6396,69kg
6397,79kg
6398,70kg
6399,68kg
6400,68kg
6401,76kg
6402,68kg
6403,76kg
6404,69kg
6405,72kg
6406,80kg
6407,68kg
6408,75kg
6409,93kg
6410,70kg
6411,77kg
6412,76kg
6413,89kg
6414,74kg
6415,85kg
6416,70kg
6417,76kg
6418,72kg
6419,91kg
6420,73kg
6421,77kg
6422,80kg
6423,78kg
6424,82kg
6425,83kg
6426,83kg
6427,77kg
6428,85kg
6429,84kg
6430,80kg
6431,73kg
6432,84kg
6433,70kg
6434,80kg
6435,79kg
6436,74kg
6437,78kg
6438,85kg
6439,63kg
6440,84kg
6441,90kg
6442,74kg
6443,78kg
6444,70kg
6445,60kg
6446,73kg
6447,79kg
6448,83kg
6449,72kg
6450,69kg
6451,74kg
6452,84kg
6453,73kg
6454,76kg
6455,80kg
6456,75kg
6457,80kg
6458,85kg
6459,70kg
6460,73kg
6461,69kg
6462,80kg
6463,79kg
6464,68kg
6465,82kg
6466,80kg
6467,68kg
6468,75kg
6469,65kg
6470,75kg
6471,81kg
6472,70kg
6473,76kg
6474,84kg
6475,88kg
6476,85kg
6477,85kg
6478,78kg
6479,81kg
6480,73kg
6481,84kg
6482,77kg
6483,71kg
6484,79kg
6485,82kg
6486,69kg
6487,61kg
6488,71kg
6489,80kg
6490,78kg
6491,60kg
6492,73kg
6493,73kg
6494,78kg
6495,87kg
6496,60kg
6497,70kg
6498,79kg
6499,64kg
6500,68kg
6501,76kg
6502,62kg
6503,67kg
6504,75kg
6505,73kg
6506,82kg
6507,76kg
6508,85kg
6509,82kg
6510,85kg
6511,73kg
6512,81kg
6513,76kg
6514,74kg
6515,85kg
6516,66kg
6517,91kg
6518,77kg
6519,69kg
6520,82kg
6521,82kg
6522,78kg
6523,74kg
6524,87kg
6525,82kg
6526,63kg
6527,65kg
6528,65kg
6529,71kg
6530,76kg
6531,72kg
6532,85kg
6533,87kg
6534,70kg
6535,68kg
6536,79kg
6537,74kg
6538,75kg
6539,76kg
6540,69kg
6541,75kg
6542,91kg
6543,81kg
6544,71kg
6545,65kg
6546,85kg
6547,71kg
6548,72kg
6549,71kg
6550,61kg
6551,77kg
6552,82kg
6553,75kg
6554,73kg
6555,83kg
6556,85kg
6557,73kg
6558,72kg
6559,82kg
6560,65kg
6561,71kg
6562,77kg
6563,67kg
6564,81kg
6565,72kg
6566,85kg
6567,82kg
6568,68kg
6569,77kg
6570,69kg
6571,73kg
6572,80kg
6573,91kg
6574,78kg
6575,88kg
6576,78kg
6577,70kg
6578,89kg
6579,89kg
6580,90kg
6581,75kg
6582,62kg
6583,81kg
6584,80kg
6585,70kg
6586,75kg
6587,70kg
6588,87kg
6589,78kg
6590,71kg
6591,77kg
6592,72kg
6593,77kg
6594,72kg
6595,68kg
6596,80kg
6597,81kg
6598,77kg
6599,88kg
6600,70kg
6601,72kg
6602,73kg
6603,65kg
6604,90kg
6605,76kg
6606,78kg
6607,71kg
6608,69kg
6609,91kg
6610,85kg
6611,75kg
6612,70kg
6613,81kg
6614,61kg
6615,66kg
6616,77kg
6617,94kg
6618,76kg
6619,80kg
6620,68kg
6621,80kg
6622,81kg
6623,78kg
6624,64kg
6625,73kg
6626,69kg
6627,88kg
6628,80kg
6629,77kg
6630,77kg
6631,73kg
6632,80kg
6633,70kg
6634,68kg
6635,89kg
6636,70kg
6637,66kg
6638,66kg
6639,83kg
6640,77kg
6641,75kg
6642,83kg
6643,78kg
6644,88kg
6645,76kg
6646,70kg
6647,83kg
6648,86kg
6649,70kg
6650,70kg
6651,85kg
6652,62kg
6653,84kg
6654,72kg
6655,73kg
6656,91kg
6657,76kg
6658,75kg
6659,73kg
6660,73kg
6661,72kg
6662,75kg
6663,84kg
6664,75kg
6665,82kg
6666,70kg
6667,72kg
6668,90kg
6669,82kg
6670,76kg
6671,82kg
6672,73kg
6673,73kg
6674,72kg
6675,82kg
6676,76kg
6677,71kg
6678,74kg
6679,77kg
6680,80kg
6681,80kg
6682,80kg
6683,84kg
6684,91kg
6685,70kg
6686,76kg
6687,74kg
6688,73kg
6689,88kg
6690,68kg
6691,78kg
6692,70kg
6693,76kg
6694,68kg
6695,82kg
6696,79kg
6697,79kg
6698,72kg
6699,60kg
6700,75kg
6701,74kg
6702,84kg
6703,77kg
6704,82kg
6705,82kg
6706,82kg
6707,73kg
6708,82kg
6709,84kg
6710,84kg
6711,85kg
6712,70kg
6713,70kg
6714,78kg
6715,78kg
6716,75kg
6717,84kg
6718,67kg
6719,62kg
6720,87kg
6721,70kg
6722,71kg
6723,71kg
6724,68kg
6725,78kg
6726,74kg
6727,72kg
6728,84kg
6729,57kg
6730,79kg
6731,70kg
6732,70kg
6733,83kg
6734,70kg
6735,70kg
6736,67kg
6737,82kg
6738,72kg
6739,83kg
6740,74kg
6741,76kg
6742,85kg
6743,72kg
6744,75kg
6745,74kg
6746,68kg
6747,80kg
6748,85kg
6749,70kg
6750,66kg
6751,68kg
6752,74kg
6753,82kg
6754,83kg
6755,70kg
6756,81kg
6757,78kg
6758,84kg
6759,74kg
6760,82kg
6761,69kg
6762,73kg
6763,83kg
6764,70kg
6765,81kg
6766,70kg
6767,86kg
6768,67kg
6769,64kg
6770,80kg
6771,64kg
6772,69kg
6773,78kg
6774,77kg
6775,68kg
6776,62kg
6777,86kg
6778,65kg
6779,72kg
6780,88kg
6781,73kg
6782,65kg
6783,65kg
6784,72kg
6785,78kg
6786,81kg
6787,79kg
6788,70kg
6789,66kg
6790,83kg
6791,75kg
6792,80kg
6793,77kg
6794,74kg
6795,74kg
6796,72kg
6797,74kg
6798,72kg
6799,70kg
6800,88kg
6801,72kg
6802,77kg
6803,75kg
6804,88kg
6805,73kg
6806,88kg
6807,87kg
6808,61kg
6809,77kg
6810,75kg
6811,70kg
6812,76kg
6813,75kg
6814,93kg
6815,82kg
6816,69kg
6817,86kg
6818,77kg
6819,74kg
6820,85kg
6821,70kg
6822,84kg
6823,80kg
6824,85kg
6825,85kg
6826,72kg
6827,96kg
6828,70kg
6829,75kg
6830,82kg
6831,86kg
6832,70kg
6833,82kg
6834,82kg
6835,80kg
6836,67kg
6837,74kg
6838,77kg
6839,68kg
6840,73kg
6841,88kg
6842,83kg
6843,84kg
6844,68kg
6845,80kg
6846,69kg
6847,91kg
6848,82kg
6849,67kg
6850,78kg
6851,91kg
6852,67kg
6853,90kg
6854,69kg
6855,68kg
6856,85kg
6857,77kg
6858,88kg
6859,67kg
6860,77kg
6861,74kg
6862,80kg
6863,70kg
6864,82kg
6865,80kg
6866,71kg
6867,65kg
6868,74kg
6869,69kg
6870,89kg
6871,82kg
6872,76kg
6873,80kg
6874,60kg
6875,82kg
6876,72kg
6877,88kg
6878,65kg
6879,62kg
6880,84kg
6881,63kg
6882,80kg
6883,75kg
6884,70kg
6885,70kg
6886,62kg
6887,70kg
6888,74kg
6889,83kg
6890,87kg
6891,74kg
6892,73kg
6893,78kg
6894,75kg
6895,73kg
6896,79kg
6897,81kg
6898,75kg
6899,65kg
6900,71kg
6901,62kg
6902,72kg
6903,73kg
6904,77kg
6905,80kg
6906,83kg
6907,87kg
6908,71kg
6909,70kg
6910,75kg
6911,78kg
6912,71kg
6913,83kg
6914,70kg
6915,93kg
6916,66kg
6917,78kg
6918,78kg
6919,69kg
6920,73kg
6921,62kg
6922,84kg
6923,73kg
